item_id,order_id,item_name,quantity,price
ITEM5000,ORD58053,Salad,1,3.56
ITEM5001,ORD38633,Burger,5,14.6
ITEM5002,ORD21285,Tacos,3,13.73
ITEM5003,ORD54869,Pizza,5,7.89
ITEM5004,ORD32767,Burger,4,10.36
ITEM5005,ORD30046,Biryani,2,11.96
ITEM5006,ORD27841,Sushi,5,8.45
ITEM5007,ORD59827,Pasta,2,6.81
ITEM5008,ORD45364,Pizza,2,11.52
ITEM5009,ORD42148,Salad,5,7.19
ITEM5010,ORD48121,Biryani,1,6.41
ITEM5011,ORD41674,Pizza,5,14.08
ITEM5012,ORD35693,Pizza,2,12.7
ITEM5013,ORD43777,Salad,2,8.84
ITEM5014,ORD30057,Tacos,5,8.12
ITEM5015,ORD14688,Salad,1,3.78
ITEM5016,ORD18803,Pasta,3,7.49
ITEM5017,ORD52586,Tacos,2,12.56
ITEM5018,ORD34753,Sushi,2,5.92
ITEM5019,ORD46117,Salad,5,11.08
ITEM5020,ORD59928,Sushi,2,4.28
ITEM5021,ORD27155,Biryani,1,5.01
ITEM5022,ORD20026,Biryani,2,3.9
ITEM5023,ORD24946,Tacos,4,7.37
ITEM5024,ORD52806,Burger,1,6.74
ITEM5025,ORD41311,Salad,1,8.51
ITEM5026,ORD14642,Salad,2,10.76
ITEM5027,ORD49148,Biryani,5,14.3
ITEM5028,ORD13410,Biryani,5,9.42
ITEM5029,ORD33275,Salad,5,9.84
ITEM5030,ORD55148,Tacos,2,7.27
ITEM5031,ORD41924,Tacos,2,7.98
ITEM5032,ORD51791,Pizza,3,11.4
ITEM5033,ORD15640,Pasta,1,9.02
ITEM5034,ORD42531,Salad,5,7.76
ITEM5035,ORD15901,Pizza,1,14.63
ITEM5036,ORD45031,Tacos,5,6.72
ITEM5037,ORD26884,Burger,2,7.67
ITEM5038,ORD37203,Tacos,4,4.89
ITEM5039,ORD13307,Burger,4,10.68
ITEM5040,ORD24837,Pasta,3,2.93
ITEM5041,ORD31855,Pasta,3,12.74
ITEM5042,ORD11928,Biryani,1,2.53
ITEM5043,ORD15612,Tacos,2,3.14
