order_id,customer_id,restaurant_id,order_date,delivery_time_min
ORD10000,CUST1126,REST773,2024-07-13 01:04,77
ORD10001,CUST17765,REST448,2025-03-11 04:35,71
ORD10002,CUST10235,REST1914,2024-10-25 10:28,65
ORD10003,CUST14581,REST363,2025-02-14 01:23,53
ORD10004,CUST1349,REST1327,2025-06-17 06:38,59
ORD10005,CUST6699,REST446,2024-12-29 21:42,23
ORD10006,CUST15749,REST1480,2025-01-31 05:03,61
ORD10007,CUST3615,REST529,2024-09-10 03:57,66
ORD10008,CUST11691,REST560,2024-07-13 14:46,34
ORD10009,CUST16405,REST1278,2024-09-27 19:45,74
ORD10010,CUST19866,REST2068,2025-01-01 07:32,73
ORD10011,CUST7950,REST1737,2025-06-28 00:25,47
ORD10012,CUST17435,REST836,2024-10-29 16:53,24
ORD10013,CUST15635,REST125,2024-10-16 21:19,73
ORD10014,CUST9499,REST126,2024-09-25 05:20,86
ORD10015,CUST16975,REST1572,2024-11-12 06:12,63
ORD10016,CUST3192,REST502,2024-06-28 23:23,44
ORD10017,CUST4193,REST118,2025-03-26 18:01,58
ORD10018,CUST1405,REST165,2025-01-25 07:12,45
ORD10019,CUST2794,REST723,2024-08-05 21:34,61
ORD10020,CUST6294,REST1877,2024-10-20 11:27,24
ORD10021,CUST3735,REST1484,2025-02-21 04:23,43
ORD10022,CUST18798,REST632,2024-12-25 18:47,81
ORD10023,CUST18519,REST373,2024-11-17 22:21,64
ORD10024,CUST16006,REST645,2025-03-04 07:31,81
ORD10025,CUST6457,REST1244,2024-10-12 09:32,51
ORD10026,CUST7923,REST960,2025-02-09 21:52,40
ORD10027,CUST10945,REST873,2024-09-25 03:35,64
ORD10028,CUST14956,REST1075,2025-04-01 21:43,27
ORD10029,CUST2318,REST1277,2025-06-18 04:54,52
ORD10030,CUST11657,REST1817,2025-02-19 12:35,32
ORD10031,CUST12669,REST793,2024-11-17 04:14,74
ORD10032,CUST17749,REST728,2025-01-26 06:41,73
ORD10033,CUST17272,REST1125,2024-09-04 14:58,34
ORD10034,CUST1513,REST1474,2025-06-28 13:35,83
ORD10035,CUST5528,REST1190,2024-09-20 05:52,50
ORD10036,CUST4737,REST684,2024-11-06 23:22,39
ORD10037,CUST13472,REST240,2024-12-08 10:57,32
ORD10038,CUST19398,REST1073,2024-10-26 09:58,28
ORD10039,CUST17318,REST823,2025-06-21 06:52,23
ORD10040,CUST6249,REST1703,2025-05-28 12:07,58
ORD10041,CUST13556,REST2035,2025-05-17 08:13,25
ORD10042,CUST6488,REST1943,2024-09-19 14:42,66
ORD10043,CUST4726,REST1429,2024-09-28 00:11,80
ORD10044,CUST5096,REST1829,2024-07-21 23:13,20
ORD10045,CUST2637,REST1637,2025-05-31 21:46,25
ORD10046,CUST9799,REST1069,2024-07-02 06:52,85
ORD10047,CUST15990,REST2071,2024-10-17 03:55,23
ORD10048,CUST13920,REST361,2024-08-05 19:23,22
ORD10049,CUST8601,REST1067,2024-09-18 06:05,69
ORD10050,CUST8343,REST740,2025-03-14 02:38,34
ORD10051,CUST18077,REST486,2025-06-23 19:30,23
ORD10052,CUST8877,REST1454,2025-05-18 23:06,44
ORD10053,CUST4916,REST1520,2025-02-26 17:27,36
ORD10054,CUST15404,REST368,2025-01-10 06:40,37
ORD10055,CUST20895,REST1812,2025-03-04 10:57,71
ORD10056,CUST17991,REST2033,2025-03-03 23:47,49
ORD10057,CUST9693,REST752,2025-05-08 13:45,57
ORD10058,CUST6033,REST986,2025-06-16 07:21,59
ORD10059,CUST16722,REST1763,2025-02-06 02:23,35
ORD10060,CUST19214,REST1965,2025-04-22 13:17,74
ORD10061,CUST4659,REST1566,2024-10-01 02:27,60
ORD10062,CUST4422,REST1488,2024-08-11 20:42,80
ORD10063,CUST13363,REST1267,2024-07-05 10:41,75
ORD10064,CUST7448,REST1462,2025-05-09 12:18,77
ORD10065,CUST5071,REST1595,2025-06-23 21:45,88
ORD10066,CUST4804,REST1012,2025-04-19 05:13,45
ORD10067,CUST14505,REST2016,2024-12-13 06:14,52
ORD10068,CUST18245,REST1083,2024-11-04 03:55,31
ORD10069,CUST6179,REST1292,2024-11-22 22:33,51
ORD10070,CUST15653,REST1122,2024-09-27 13:33,68
ORD10071,CUST20711,REST909,2025-01-20 17:09,40
ORD10072,CUST20114,REST1658,2024-10-22 03:52,63
ORD10073,CUST3308,REST613,2024-10-05 21:28,24
ORD10074,CUST6217,REST908,2025-02-07 02:20,70
ORD10075,CUST7368,REST666,2025-04-06 02:16,28
ORD10076,CUST6818,REST1638,2025-06-04 02:02,78
ORD10077,CUST4645,REST138,2024-12-01 05:59,90
ORD10078,CUST16999,REST451,2024-10-09 11:11,74
ORD10079,CUST5917,REST767,2025-03-27 21:15,41
ORD10080,CUST16384,REST266,2025-04-25 23:57,88
ORD10081,CUST10191,REST1849,2024-08-13 17:26,77
