payment_id,order_id,payment_method,amount,payment_date
PAY20000,ORD45318,Credit Card,17.31,2025-04-13 18:41:36
PAY20001,ORD51773,Net Banking,48.68,2025-01-05 01:00:59
PAY20002,ORD32973,Credit Card,8.49,2025-03-10 23:06:02
PAY20003,ORD17900,UPI,46.51,2024-07-30 21:58:10
PAY20004,ORD38202,UPI,34.67,2025-05-18 15:31:25
PAY20005,ORD56990,Debit Card,8.62,2024-12-28 06:10:13
PAY20006,ORD38498,Net Banking,44.89,2025-06-09 09:02:12
PAY20007,ORD47075,Cash,19.29,2025-02-21 09:40:53
PAY20008,ORD13090,Net Banking,18.07,2024-09-25 17:51:32
PAY20009,ORD26503,UPI,7.24,2024-12-21 02:19:27
PAY20010,ORD18805,Credit Card,10.09,2024-07-01 03:07:15
PAY20011,ORD37874,Net Banking,25.76,2025-01-06 21:51:45
PAY20012,ORD57642,Net Banking,7.57,2025-01-04 14:47:05
PAY20013,ORD41264,UPI,47.06,2025-04-12 07:03:28
PAY20014,ORD36164,UPI,41.72,2025-02-17 15:26:55
PAY20015,ORD55840,Cash,25.24,2024-07-19 11:15:35
PAY20016,ORD54556,UPI,38.7,2025-01-29 16:33:59
PAY20017,ORD16980,Cash,29.9,2024-09-06 08:18:57
PAY20018,ORD35364,Debit Card,26.64,2025-01-18 22:29:37
PAY20019,ORD57713,Net Banking,6.41,2025-02-04 22:53:41
PAY20020,ORD37329,UPI,40.28,2025-04-03 08:57:20
PAY20021,ORD17080,UPI,40.17,2024-08-01 11:41:30
PAY20022,ORD21101,Debit Card,11.05,2025-03-07 05:34:17
PAY20023,ORD52340,Debit Card,24.51,2025-05-29 15:56:46
PAY20024,ORD57955,Credit Card,48.03,2025-01-14 21:19:16
PAY20025,ORD58497,Credit Card,40.6,2025-02-16 21:38:28
PAY20026,ORD39710,Net Banking,17.13,2024-09-22 00:09:29
PAY20027,ORD11284,UPI,17.07,2024-08-09 19:42:10
PAY20028,ORD42459,Credit Card,26.79,2025-02-04 21:13:12
PAY20029,ORD28001,Cash,11.15,2024-10-01 03:05:17
PAY20030,ORD27661,UPI,46.07,2024-09-28 22:50:00
PAY20031,ORD25339,Debit Card,26.76,2025-01-01 14:41:32
PAY20032,ORD31413,Credit Card,40.9,2025-04-30 03:51:34
