restaurant_id,name,city,cuisine,rating
REST100,Sanchez Inc,New Larrychester,Indian,3.8
REST101,"Simmons, Garcia and Scott",Port Annshire,Chinese,3.2
REST102,"Rose, Robinson and Cooper",Scottland,Indian,2.9
REST103,Wolfe-Armstrong,Anthonyland,Italian,2.6
REST104,Parsons-Fry,Lake Christopherbury,Chinese,4.4
REST105,Montgomery Group,Lake Johnnyfort,Chinese,4.0
REST106,"Schmidt, Williams and Chaney",Dianaberg,Chinese,2.9
REST107,Johnson Group,Freemanshire,Chinese,3.1
REST108,Cline Group,East Brendaport,Chinese,2.5
REST109,Smith PLC,West Nicoletown,Italian,4.9
REST110,Velez-Hernandez,West Tracyburgh,Mexican,3.2
REST111,Jones Inc,East Garyfort,Mexican,4.4
REST112,Allen LLC,South Lisa,Indian,3.3
REST113,Johnson Group,Joneschester,Mexican,3.4
REST114,Clark PLC,South Brandy,Indian,4.8
REST115,"Duncan, Charles and Marshall",Jasonfort,Mexican,4.4
REST116,"Conley, Garza and Buchanan",Burkeland,Italian,4.2
REST117,Ross-Koch,West Brittney,Italian,4.5
REST118,"Williams, Moore and Thompson",Port Kendra,Indian,2.7
REST119,Carlson PLC,West Nathanieltown,Thai,3.9
REST120,"Andrews, Howard and Terrell",Michaelside,Chinese,4.2
REST121,Roberts-Williams,East Jesse,Italian,3.3
REST122,"Jackson, Adams and Mason",New Sylvia,Italian,3.9
REST123,"Turner, Young and Johnson",North Johnny,American,3.1
REST124,"Kennedy, Stark and Campbell",New Zachary,Mexican,4.2
REST125,"Murphy, Lee and Neal",Snyderberg,Chinese,4.4
REST126,"Baird, Johnson and Gallagher",East Shannon,Mexican,4.3
REST127,Zimmerman Group,Randallfurt,Chinese,5.0
REST128,"Moses, Morrison and Grant",Pearsonfurt,Italian,3.3
REST129,Johnson-Morgan,New Hannah,Mexican,4.2
REST130,"Wilson, Stewart and Mitchell",Port Marissabury,Mexican,4.4
REST131,"Ward, Marshall and Allen",Annettefort,Mexican,2.8
REST132,Tucker-Rivers,Smithtown,Italian,5.0
REST133,Wang-Maldonado,Port Thomasfurt,Italian,2.6
REST134,"Moyer, Combs and Scott",North Jacquelineport,American,2.6
REST135,Wilson-Warren,Elizabethfurt,Italian,4.7
REST136,Gibson Ltd,Lorimouth,Thai,3.1
REST137,Miller PLC,Fredmouth,American,2.8
REST138,Cook PLC,Reedville,Indian,3.2
REST139,"Brown, Bush and Boone",Harrellchester,Indian,3.2
REST140,Bauer Inc,Osbornefort,Chinese,2.5
REST141,Williams PLC,Collinsview,Mexican,4.7
REST142,Smith Group,North Richardhaven,American,4.4
REST143,"Cruz, Lindsey and Kramer",Shaunbury,Chinese,3.4
REST144,"Williamson, Johnson and Klein",Ericborough,American,3.7
REST145,Perkins-Logan,Bryanton,Mexican,3.5
REST146,Soto-Mejia,Ericchester,American,4.6
REST147,"Turner, Thompson and Jackson",Escobarshire,American,2.5
REST148,Gomez LLC,North Kelseychester,Mexican,4.3
REST149,"Zimmerman, Chandler and Meza",Douglasmouth,American,5.0
REST150,"Hall, Moran and Powell",Ramirezview,Mexican,3.2
REST151,Maldonado and Sons,Danielborough,Chinese,3.3
REST152,Steele Inc,Josephmouth,American,5.0
REST153,Heath PLC,Royport,Italian,4.2
REST154,Johnson and Sons,Port Rachel,Indian,2.6
REST155,Thompson PLC,Lake Connor,Mexican,2.5
REST156,"Roberts, Harris and Soto",Port Thomas,Chinese,3.1
REST157,Fox Inc,Flemingfurt,Thai,4.4
REST158,"Brooks, Hughes and Kemp",New Kimmouth,Mexican,3.1
REST159,"White, Petersen and Walker",Whiteberg,Mexican,3.4
REST160,Sullivan and Sons,Lisaland,American,3.9
REST161,"Petersen, Rangel and Gonzalez",West Kellyhaven,Chinese,3.8
REST162,Pittman PLC,Carlaside,Mexican,3.0
REST163,Hammond-Day,West Devinfort,Indian,4.1
REST164,Johnson-Miller,North Georgeland,Indian,4.0
REST165,"Jenkins, Cobb and Brown",New Kelly,Italian,4.4
REST166,"Williams, Carroll and King",South Royview,Italian,3.2
REST167,Perez-Washington,Abigailville,Mexican,4.6
REST168,"Griffith, Smith and Johnson",North Jeffrey,American,2.8
REST169,Montgomery PLC,Markville,Mexican,4.4
REST170,Smith Ltd,North Kevinville,Italian,3.0
REST171,"Williams, Wells and Christensen",Margarettown,Italian,4.7
REST172,"Todd, Hernandez and Anderson",Davidborough,Thai,3.8
REST173,"Middleton, Flores and Cochran",East Aaron,Mexican,2.7
REST174,"Garcia, Price and Holder",Henryton,Indian,3.6
REST175,Lopez-Hahn,New Christopher,Italian,3.8
REST176,"Kline, West and Black",North Derrickfort,Indian,4.5
